"","SpeciesRegion","RouteCount","SpatialPresent","Prop.Spatial","YearCount","TemporalPresent","Prop.Temporal","over50","over40"
"1","AMRE13",65,32,0.492307692307692,9,5,0.555555555555556,0,1
"2","AMRE14",45,20,0.444444444444444,9,9,1,0,1
"3","AMRE15",14,12,0.857142857142857,11,9,0.818181818181818,1,1
"4","AMRE16",36,21,0.583333333333333,8,2,0.25,0,0
"5","AMRE19",101,52,0.514851485148515,10,1,0.1,0,0
"6","AMRE20",105,53,0.504761904761905,12,11,0.916666666666667,1,1
"7","AMRE4",24,7,0.291666666666667,13,9,0.692307692307692,0,0
"8","AMRE5",17,7,0.411764705882353,9,4,0.444444444444444,0,1
"9","AMRE8",20,9,0.45,9,7,0.777777777777778,0,1
"10","BADO6",17,1,0.0588235294117647,14,1,0.0714285714285714,0,0
"11","BAWW13",65,24,0.369230769230769,9,5,0.555555555555556,0,0
"12","BAWW14",45,16,0.355555555555556,9,7,0.777777777777778,0,0
"13","BAWW15",14,5,0.357142857142857,11,5,0.454545454545455,0,0
"14","BAWW16",36,10,0.277777777777778,8,1,0.125,0,0
"15","BAWW17",100,35,0.35,10,1,0.1,0,0
"16","BAWW18",68,23,0.338235294117647,9,1,0.111111111111111,0,0
"17","BAWW20",105,36,0.342857142857143,12,5,0.416666666666667,0,0
"18","BBCU13",65,8,0.123076923076923,9,3,0.333333333333333,0,0
"19","BBCU14",45,4,0.0888888888888889,9,1,0.111111111111111,0,0
"20","BBCU17",100,11,0.11,10,3,0.3,0,0
"21","BBWA13",65,1,0.0153846153846154,9,3,0.333333333333333,0,0
"22","BBWA15",14,1,0.0714285714285714,11,5,0.454545454545455,0,0
"23","BBWA16",36,2,0.0555555555555556,8,3,0.375,0,0
"24","BBWA18",68,4,0.0588235294117647,9,5,0.555555555555556,0,0
"25","BBWA19",101,9,0.0891089108910891,10,3,0.3,0,0
"26","BBWA20",105,9,0.0857142857142857,12,1,0.0833333333333333,0,0
"27","BBWO13",65,2,0.0307692307692308,9,2,0.222222222222222,0,0
"28","BBWO16",36,1,0.0277777777777778,8,2,0.25,0,0
"29","BCCH1",28,14,0.5,17,3,0.176470588235294,0,0
"30","BCCH11",11,6,0.545454545454545,16,8,0.5,1,1
"31","BCCH13",65,33,0.507692307692308,9,3,0.333333333333333,0,0
"32","BCCH14",45,22,0.488888888888889,9,1,0.111111111111111,0,0
"33","BCCH15",14,12,0.857142857142857,11,8,0.727272727272727,1,1
"34","BCCH16",36,16,0.444444444444444,8,5,0.625,0,1
"35","BCCH17",100,51,0.51,10,6,0.6,1,1
"36","BCCH18",68,37,0.544117647058823,9,1,0.111111111111111,0,0
"37","BCCH19",101,52,0.514851485148515,10,1,0.1,0,0
"38","BCCH2",13,4,0.307692307692308,13,6,0.461538461538462,0,0
"39","BCCH20",105,52,0.495238095238095,12,9,0.75,0,1
"40","BCCH3",19,6,0.315789473684211,9,1,0.111111111111111,0,0
