"","dat.SpeciesRegion","dat.SpeciesCode","sp.region"
"1","WCSP10","WCSP",196
"2","WAVI10","WAVI",188
"3","DEJU10","DEJU",48
"4","TOWA10","TOWA",177
"5","VATH10","VATH",179
"6","HAFL10","HAFL",68
"7","CBCH10","CBCH",21
"8","WETA10","WETA",198
"9","SWTH10","SWTH",160
"10","PAWR10","PAWR",121
"11","SPTO10","SPTO",157
"12","PSFL10","PSFL",124
"13","OCWA10","OCWA",109
"14","AMRE13","AMRE",1
"15","HETH13","HETH",73
"16","OVEN13","OVEN",114
"17","MAWA13","MAWA",87
"18","CHSP13","CHSP",27
"19","SWTH13","SWTH",163
"20","NAWA13","NAWA",98
"21","YRWA13","YRWA",229
"22","WIWR13","WIWR",207
"23","REVI13","REVI",149
"24","WTSP13","WTSP",215
"25","LEFL13","LEFL",80
"26","CSWA13","CSWA",41
"27","RCKI13","RCKI",137
"28","YRWA3","YRWA",237
"29","HETH2","HETH",78
"30","YRWA2","YRWA",235
"31","LEFL2","LEFL",85
"32","WTSP2","WTSP",222
"33","CHSP3","CHSP",34
"34","WTSP3","WTSP",224
"35","CHSP2","CHSP",32
"36","VEER14","VEER",183
"37","WTSP14","WTSP",216
"38","NAWA14","NAWA",99
"39","REVI14","REVI",150
"40","CHSP14","CHSP",28
"41","BAWW14","BAWW",7
"42","SWTH14","SWTH",164
"43","WIWR14","WIWR",208
"44","CSWA14","CSWA",42
"45","LEFL14","LEFL",81
"46","OVEN14","OVEN",115
"47","MAWA14","MAWA",88
"48","HETH14","HETH",74
"49","AMRE14","AMRE",2
"50","RCKI14","RCKI",138
"51","DEJU3","DEJU",53
"52","SWTH3","SWTH",172
"53","BCCH8","BCCH",16
"54","SWTH8","SWTH",176
"55","WIWA8","WIWA",206
"56","OCWA8","OCWA",113
"57","NOWA8","NOWA",108
"58","CHSP8","CHSP",39
"59","GCKI8","GCKI",67
"60","RBNU8","RBNU",134
"61","PISI8","PISI",123
"62","YRWA8","YRWA",242
"63","RCKI8","RCKI",147
"64","VATH8","VATH",182
"65","WETA8","WETA",202
"66","WAVI8","WAVI",195
"67","DEJU8","DEJU",58
"68","HAFL8","HAFL",72
"69","AMRE8","AMRE",6
"70","NAWA15","NAWA",100
"71","RCKI15","RCKI",139
"72","WIWR15","WIWR",209
"73","BHVI15","BHVI",17
"74","MAWA15","MAWA",89
"75","SWTH15","SWTH",165
"76","BCCH15","BCCH",10
"77","LEFL15","LEFL",82
"78","AMRE15","AMRE",3
"79","DEJU15","DEJU",51
"80","RBNU15","RBNU",127
"81","YBSA15","YBSA",225
"82","OVEN15","OVEN",116
"83","CSWA15","CSWA",43
"84","GCKI15","GCKI",64
"85","VEER15","VEER",184
"86","NOPA15","NOPA",106
"87","HETH15","HETH",75
"88","YRWA15","YRWA",230
"89","WTSP15","WTSP",217
"90","BAWW15","BAWW",8
"91","REVI15","REVI",151
"92","VEER20","VEER",186
"93","RCKI17","RCKI",141
"94","YRWA20","YRWA",236
"95","CHSP20","CHSP",33
"96","SWTH20","SWTH",171
"97","OVEN17","OVEN",118
"98","HETH20","HETH",79
"99","CHSP17","CHSP",30
"100","CSWA17","CSWA",45
"101","WIWR19","WIWR",213
"102","REVI20","REVI",155
"103","YRWA17","YRWA",232
"104","SWTH17","SWTH",167
"105","SWTH19","SWTH",169
"106","REVI17","REVI",153
"107","AMRE20","AMRE",4
"108","HETH17","HETH",76
"109","NAWA20","NAWA",105
"110","WTSP17","WTSP",219
"111","VEER17","VEER",185
"112","WIWR17","WIWR",211
"113","NAWA19","NAWA",104
"114","WTSP20","WTSP",223
"115","BCCH20","BCCH",13
"116","WTSP19","WTSP",221
"117","CSWA20","CSWA",46
"118","NAWA17","NAWA",102
"119","WIWR20","WIWR",214
"120","RBNU17","RBNU",128
